second,Volt
+136.6000E-06,+2.0000000000E+00
+136.8000E-06,+1.9843750000E+00
+137.0000E-06,+2.0156250000E+00
+137.2000E-06,+2.0312500000E+00
+137.4000E-06,+2.0468750000E+00
+137.6000E-06,+2.0312500000E+00
+137.8000E-06,+2.0312500000E+00
+138.0000E-06,+1.9843750000E+00
+138.2000E-06,+1.9687500000E+00
+138.4000E-06,+1.9687500000E+00
+138.6000E-06,+1.9687500000E+00
+138.8000E-06,+1.9687500000E+00
+139.0000E-06,+1.9843750000E+00
+139.2000E-06,+1.9843750000E+00
+139.4000E-06,+1.9843750000E+00
+139.6000E-06,+1.9843750000E+00
+139.8000E-06,+1.9843750000E+00
+140.0000E-06,+1.9531250000E+00
+140.2000E-06,+1.9375000000E+00
+140.4000E-06,+1.9531250000E+00
+140.6000E-06,+1.9375000000E+00
+140.8000E-06,+1.9375000000E+00
+141.0000E-06,+1.9843750000E+00
+141.2000E-06,+1.9687500000E+00
+141.4000E-06,+1.9687500000E+00
+141.6000E-06,+1.9687500000E+00
+141.8000E-06,+1.9531250000E+00
+142.0000E-06,+1.9531250000E+00
+142.2000E-06,+1.9375000000E+00
+142.4000E-06,+1.9375000000E+00
+142.6000E-06,+1.9375000000E+00
+142.8000E-06,+1.9375000000E+00
+143.0000E-06,+1.9531250000E+00
+143.2000E-06,+1.9375000000E+00
+143.4000E-06,+1.9375000000E+00
+143.6000E-06,+1.9218750000E+00
+143.8000E-06,+1.9062500000E+00
+144.0000E-06,+1.7656250000E+00
+144.2000E-06,+968.7500000E-03
+144.4000E-06,+750.0000000E-03
+144.6000E-06,+406.2500000E-03
+144.8000E-06,+359.3750000E-03
+145.0000E-06,+453.1250000E-03
+145.2000E-06,+515.6250000E-03
+145.4000E-06,+468.7500000E-03
+145.6000E-06,+421.8750000E-03
+145.8000E-06,+437.5000000E-03
+146.0000E-06,+453.1250000E-03
+146.2000E-06,+531.2500000E-03
+146.4000E-06,+578.1250000E-03
+146.6000E-06,+609.3750000E-03
+146.8000E-06,+609.3750000E-03
+147.0000E-06,+578.1250000E-03
+147.2000E-06,+546.8750000E-03
+147.4000E-06,+531.2500000E-03
+147.6000E-06,+531.2500000E-03
+147.8000E-06,+546.8750000E-03
+148.0000E-06,+593.7500000E-03
+148.2000E-06,+609.3750000E-03
+148.4000E-06,+656.2500000E-03
+148.6000E-06,+640.6250000E-03
+148.8000E-06,+609.3750000E-03
+149.0000E-06,+609.3750000E-03
+149.2000E-06,+578.1250000E-03
+149.4000E-06,+593.7500000E-03
+149.6000E-06,+578.1250000E-03
+149.8000E-06,+593.7500000E-03
+150.0000E-06,+609.3750000E-03
+150.2000E-06,+656.2500000E-03
+150.4000E-06,+656.2500000E-03
+150.6000E-06,+640.6250000E-03
+150.8000E-06,+609.3750000E-03
+151.0000E-06,+609.3750000E-03
+151.2000E-06,+609.3750000E-03
+151.4000E-06,+593.7500000E-03
+151.6000E-06,+609.3750000E-03
+151.8000E-06,+625.0000000E-03
+152.0000E-06,+640.6250000E-03
+152.2000E-06,+656.2500000E-03
+152.4000E-06,+640.6250000E-03
+152.6000E-06,+625.0000000E-03
+152.8000E-06,+609.3750000E-03
