second,Volt
+94.8000E-06,-43.7499881E-03
+95.0000E-06,-43.7499881E-03
+95.2000E-06,-43.7499881E-03
+95.4000E-06,-74.9999881E-03
+95.6000E-06,-43.7499881E-03
+95.8000E-06,-74.9999881E-03
+96.0000E-06,-74.9999881E-03
+96.2000E-06,-74.9999881E-03
+96.4000E-06,-74.9999881E-03
+96.6000E-06,-43.7499881E-03
+96.8000E-06,-74.9999881E-03
+97.0000E-06,-74.9999881E-03
+97.2000E-06,-43.7499881E-03
+97.4000E-06,-43.7499881E-03
+97.6000E-06,-74.9999881E-03
+97.8000E-06,-43.7499881E-03
+98.0000E-06,-43.7499881E-03
+98.2000E-06,-43.7499881E-03
+98.4000E-06,-43.7499881E-03
+98.6000E-06,-74.9999881E-03
+98.8000E-06,-43.7499881E-03
+99.0000E-06,-74.9999881E-03
+99.2000E-06,-43.7499881E-03
+99.4000E-06,-43.7499881E-03
+99.6000E-06,-43.7499881E-03
+99.8000E-06,-74.9999881E-03
+100.0000E-06,-43.7499881E-03
+100.2000E-06,-43.7499881E-03
+100.4000E-06,-43.7499881E-03
+100.6000E-06,-43.7499881E-03
+100.8000E-06,-43.7499881E-03
+101.0000E-06,-43.7499881E-03
+101.2000E-06,-43.7499881E-03
+101.4000E-06,-43.7499881E-03
+101.6000E-06,-43.7499881E-03
+101.8000E-06,-43.7499881E-03
+102.0000E-06,-43.7499881E-03
+102.2000E-06,-43.7499881E-03
+102.4000E-06,-43.7499881E-03
+102.6000E-06,-74.9999881E-03
+102.8000E-06,-43.7499881E-03
+103.0000E-06,-43.7499881E-03
+103.2000E-06,-106.2499881E-03
+103.4000E-06,-43.7499881E-03
+103.6000E-06,-74.9999881E-03
+103.8000E-06,-43.7499881E-03
+104.0000E-06,-74.9999881E-03
+104.2000E-06,-43.7499881E-03
+104.4000E-06,-12.4999881E-03
+104.6000E-06,-43.7499881E-03
+104.8000E-06,-43.7499881E-03
+105.0000E-06,-43.7499881E-03
+105.2000E-06,-74.9999881E-03
+105.4000E-06,-43.7499881E-03
+105.6000E-06,-43.7499881E-03
+105.8000E-06,-43.7499881E-03
+106.0000E-06,-43.7499881E-03
+106.2000E-06,-43.7499881E-03
+106.4000E-06,-43.7499881E-03
