second,Volt
+93.4000E-06,+884.3749762E-03
+93.6000E-06,+853.1249762E-03
+93.8000E-06,+837.4999762E-03
+94.0000E-06,+868.7499762E-03
+94.2000E-06,+884.3749762E-03
+94.4000E-06,+915.6249762E-03
+94.6000E-06,+931.2499762E-03
+94.8000E-06,+931.2499762E-03
+95.0000E-06,+931.2499762E-03
+95.2000E-06,+915.6249762E-03
+95.4000E-06,+899.9999762E-03
+95.6000E-06,+884.3749762E-03
+95.8000E-06,+884.3749762E-03
+96.0000E-06,+884.3749762E-03
+96.2000E-06,+884.3749762E-03
+96.4000E-06,+884.3749762E-03
+96.6000E-06,+899.9999762E-03
+96.8000E-06,+884.3749762E-03
+97.0000E-06,+884.3749762E-03
+97.2000E-06,+868.7499762E-03
+97.4000E-06,+853.1249762E-03
+97.6000E-06,+868.7499762E-03
+97.8000E-06,+868.7499762E-03
+98.0000E-06,+884.3749762E-03
+98.2000E-06,+899.9999762E-03
+98.4000E-06,+915.6249762E-03
+98.6000E-06,+915.6249762E-03
+98.8000E-06,+915.6249762E-03
+99.0000E-06,+915.6249762E-03
+99.2000E-06,+915.6249762E-03
+99.4000E-06,+915.6249762E-03
+99.6000E-06,+931.2499762E-03
+99.8000E-06,+931.2499762E-03
+100.0000E-06,+946.8749762E-03
+100.2000E-06,+962.4999762E-03
+100.4000E-06,+962.4999762E-03
+100.6000E-06,+962.4999762E-03
+100.8000E-06,+946.8749762E-03
+101.0000E-06,+946.8749762E-03
+101.2000E-06,+946.8749762E-03
+101.4000E-06,+946.8749762E-03
+101.6000E-06,+946.8749762E-03
+101.8000E-06,+946.8749762E-03
+102.0000E-06,+946.8749762E-03
+102.2000E-06,+931.2499762E-03
+102.4000E-06,+931.2499762E-03
+102.6000E-06,+915.6249762E-03
+102.8000E-06,+899.9999762E-03
+103.0000E-06,+899.9999762E-03
+103.2000E-06,+899.9999762E-03
+103.4000E-06,+884.3749762E-03
+103.6000E-06,+884.3749762E-03
+103.8000E-06,+899.9999762E-03
+104.0000E-06,+899.9999762E-03
+104.2000E-06,+899.9999762E-03
+104.4000E-06,+884.3749762E-03
+104.6000E-06,+915.6249762E-03
+104.8000E-06,+946.8749762E-03
+105.0000E-06,+899.9999762E-03
+105.2000E-06,+915.6249762E-03
+105.4000E-06,+915.6249762E-03
+105.6000E-06,+931.2499762E-03
+105.8000E-06,+931.2499762E-03
+106.0000E-06,+931.2499762E-03
+106.2000E-06,+978.1249762E-03
+106.4000E-06,+946.8749762E-03
+106.6000E-06,+946.8749762E-03
+106.8000E-06,+931.2499762E-03
+107.0000E-06,+931.2499762E-03
+107.2000E-06,+931.2499762E-03
+107.4000E-06,+931.2499762E-03
+107.6000E-06,+931.2499762E-03
+107.8000E-06,+931.2499762E-03
+108.0000E-06,+931.2499762E-03
+108.2000E-06,+931.2499762E-03
+108.4000E-06,+915.6249762E-03
+108.6000E-06,+915.6249762E-03
+108.8000E-06,+884.3749762E-03
+109.0000E-06,+899.9999762E-03
+109.2000E-06,+899.9999762E-03
+109.4000E-06,+884.3749762E-03
+109.6000E-06,+899.9999762E-03
+109.8000E-06,+899.9999762E-03
+110.0000E-06,+884.3749762E-03
+110.2000E-06,+884.3749762E-03
+110.4000E-06,+899.9999762E-03
+110.6000E-06,+899.9999762E-03
+110.8000E-06,+899.9999762E-03
+111.0000E-06,+899.9999762E-03
+111.2000E-06,+899.9999762E-03
+111.4000E-06,+915.6249762E-03
+111.6000E-06,+915.6249762E-03
+111.8000E-06,+915.6249762E-03
+112.0000E-06,+1.1968749762E+00
+112.2000E-06,+2.1812499762E+00
+112.4000E-06,+2.3218749762E+00
+112.6000E-06,+2.5093749762E+00
+112.8000E-06,+2.5406249762E+00
+113.0000E-06,+2.5249999762E+00
+113.2000E-06,+2.4937499762E+00
+113.4000E-06,+2.5249999762E+00
+113.6000E-06,+2.5406249762E+00
+113.8000E-06,+2.5249999762E+00
+114.0000E-06,+2.5249999762E+00
+114.2000E-06,+2.4937499762E+00
+114.4000E-06,+2.4468749762E+00
+114.6000E-06,+2.4468749762E+00
+114.8000E-06,+2.4312499762E+00
+115.0000E-06,+2.4312499762E+00
+115.2000E-06,+2.4312499762E+00
+115.4000E-06,+2.4624999762E+00
+115.6000E-06,+2.4468749762E+00
+115.8000E-06,+2.4468749762E+00
+116.0000E-06,+2.3843749762E+00
+116.2000E-06,+1.1031249762E+00
+116.4000E-06,+978.1249762E-03
+116.6000E-06,+759.3749762E-03
+116.8000E-06,+728.1249762E-03
+117.0000E-06,+790.6249762E-03
+117.2000E-06,+837.4999762E-03
+117.4000E-06,+868.7499762E-03
+117.6000E-06,+821.8749762E-03
+117.8000E-06,+806.2499762E-03
+118.0000E-06,+821.8749762E-03
+118.2000E-06,+868.7499762E-03
+118.4000E-06,+884.3749762E-03
+118.6000E-06,+915.6249762E-03
+118.8000E-06,+931.2499762E-03
+119.0000E-06,+915.6249762E-03
+119.2000E-06,+899.9999762E-03
+119.4000E-06,+884.3749762E-03
+119.6000E-06,+884.3749762E-03
+119.8000E-06,+899.9999762E-03
+120.0000E-06,+915.6249762E-03
+120.2000E-06,+915.6249762E-03
+120.4000E-06,+915.6249762E-03
+120.6000E-06,+931.2499762E-03
+120.8000E-06,+931.2499762E-03
+121.0000E-06,+915.6249762E-03
+121.2000E-06,+899.9999762E-03
+121.4000E-06,+915.6249762E-03
+121.6000E-06,+884.3749762E-03
+121.8000E-06,+899.9999762E-03
+122.0000E-06,+899.9999762E-03
+122.2000E-06,+899.9999762E-03
+122.4000E-06,+915.6249762E-03
+122.6000E-06,+899.9999762E-03
+122.8000E-06,+899.9999762E-03
+123.0000E-06,+884.3749762E-03
+123.2000E-06,+899.9999762E-03
+123.4000E-06,+899.9999762E-03
+123.6000E-06,+931.2499762E-03
+123.8000E-06,+915.6249762E-03
+124.0000E-06,+915.6249762E-03
+124.2000E-06,+915.6249762E-03
+124.4000E-06,+931.2499762E-03
+124.6000E-06,+931.2499762E-03
+124.8000E-06,+931.2499762E-03
+125.0000E-06,+931.2499762E-03
+125.2000E-06,+931.2499762E-03
+125.4000E-06,+931.2499762E-03
+125.6000E-06,+931.2499762E-03
+125.8000E-06,+931.2499762E-03
+126.0000E-06,+931.2499762E-03
+126.2000E-06,+931.2499762E-03
+126.4000E-06,+931.2499762E-03
+126.6000E-06,+931.2499762E-03
+126.8000E-06,+931.2499762E-03
+127.0000E-06,+931.2499762E-03
+127.2000E-06,+915.6249762E-03
+127.4000E-06,+915.6249762E-03
+127.6000E-06,+899.9999762E-03
+127.8000E-06,+931.2499762E-03
+128.0000E-06,+915.6249762E-03
+128.2000E-06,+915.6249762E-03
+128.4000E-06,+915.6249762E-03
+128.6000E-06,+915.6249762E-03
+128.8000E-06,+915.6249762E-03
+129.0000E-06,+915.6249762E-03
+129.2000E-06,+915.6249762E-03
+129.4000E-06,+915.6249762E-03
+129.6000E-06,+915.6249762E-03
+129.8000E-06,+931.2499762E-03
+130.0000E-06,+931.2499762E-03
+130.2000E-06,+915.6249762E-03
+130.4000E-06,+931.2499762E-03
+130.6000E-06,+931.2499762E-03
+130.8000E-06,+915.6249762E-03
+131.0000E-06,+931.2499762E-03
+131.2000E-06,+931.2499762E-03
+131.4000E-06,+931.2499762E-03
+131.6000E-06,+946.8749762E-03
+131.8000E-06,+931.2499762E-03
+132.0000E-06,+931.2499762E-03
+132.2000E-06,+931.2499762E-03
+132.4000E-06,+931.2499762E-03
+132.6000E-06,+931.2499762E-03
+132.8000E-06,+915.6249762E-03
+133.0000E-06,+915.6249762E-03
+133.2000E-06,+899.9999762E-03
+133.4000E-06,+931.2499762E-03
+133.6000E-06,+915.6249762E-03
+133.8000E-06,+915.6249762E-03
+134.0000E-06,+915.6249762E-03
+134.2000E-06,+931.2499762E-03
+134.4000E-06,+946.8749762E-03
+134.6000E-06,+931.2499762E-03
+134.8000E-06,+931.2499762E-03
+135.0000E-06,+931.2499762E-03
+135.2000E-06,+931.2499762E-03
+135.4000E-06,+946.8749762E-03
+135.6000E-06,+931.2499762E-03
+135.8000E-06,+931.2499762E-03
+136.0000E-06,+1.1968749762E+00
+136.2000E-06,+2.1812499762E+00
+136.4000E-06,+2.3062499762E+00
+136.6000E-06,+2.4937499762E+00
+136.8000E-06,+2.5093749762E+00
+137.0000E-06,+2.4937499762E+00
+137.2000E-06,+2.4781249762E+00
+137.4000E-06,+2.4937499762E+00
+137.6000E-06,+2.5093749762E+00
+137.8000E-06,+2.4937499762E+00
+138.0000E-06,+2.4781249762E+00
+138.2000E-06,+2.4624999762E+00
+138.4000E-06,+2.4312499762E+00
+138.6000E-06,+2.4312499762E+00
+138.8000E-06,+2.4312499762E+00
+139.0000E-06,+2.4312499762E+00
+139.2000E-06,+2.4624999762E+00
+139.4000E-06,+2.4937499762E+00
+139.6000E-06,+2.4937499762E+00
+139.8000E-06,+2.4781249762E+00
+140.0000E-06,+2.4624999761E+00
+140.2000E-06,+1.1499999762E+00
+140.4000E-06,+1.0406249762E+00
+140.6000E-06,+821.8749762E-03
+140.8000E-06,+790.6249762E-03
+141.0000E-06,+837.4999762E-03
+141.2000E-06,+868.7499762E-03
+141.4000E-06,+868.7499762E-03
+141.6000E-06,+821.8749762E-03
+141.8000E-06,+821.8749762E-03
+142.0000E-06,+837.4999762E-03
+142.2000E-06,+868.7499762E-03
+142.4000E-06,+884.3749762E-03
+142.6000E-06,+899.9999762E-03
+142.8000E-06,+899.9999762E-03
+143.0000E-06,+899.9999762E-03
+143.2000E-06,+884.3749762E-03
+143.4000E-06,+868.7499762E-03
+143.6000E-06,+837.4999762E-03
+143.8000E-06,+853.1249762E-03
+144.0000E-06,+1.1187499762E+00
+144.2000E-06,+2.1031249762E+00
+144.4000E-06,+2.2437499762E+00
+144.6000E-06,+2.4312499762E+00
+144.8000E-06,+2.4624999762E+00
+145.0000E-06,+2.4312499762E+00
+145.2000E-06,+2.4156249762E+00
+145.4000E-06,+2.4312499762E+00
+145.6000E-06,+2.4468749762E+00
+145.8000E-06,+2.4468749762E+00
+146.0000E-06,+2.4312499762E+00
+146.2000E-06,+2.4312499762E+00
+146.4000E-06,+2.4156249762E+00
+146.6000E-06,+2.4156249762E+00
+146.8000E-06,+2.4156249762E+00
+147.0000E-06,+2.4312499762E+00
+147.2000E-06,+2.4312499762E+00
+147.4000E-06,+2.4468749762E+00
+147.6000E-06,+2.4624999762E+00
+147.8000E-06,+2.4468749762E+00
+148.0000E-06,+2.4156249761E+00
+148.2000E-06,+1.1031249762E+00
+148.4000E-06,+962.4999762E-03
+148.6000E-06,+759.3749762E-03
+148.8000E-06,+728.1249762E-03
+149.0000E-06,+759.3749762E-03
+149.2000E-06,+806.2499762E-03
+149.4000E-06,+790.6249762E-03
+149.6000E-06,+774.9999762E-03
+149.8000E-06,+774.9999762E-03
+150.0000E-06,+806.2499762E-03
+150.2000E-06,+821.8749762E-03
+150.4000E-06,+853.1249762E-03
+150.6000E-06,+884.3749762E-03
+150.8000E-06,+884.3749762E-03
+151.0000E-06,+868.7499762E-03
+151.2000E-06,+837.4999762E-03
